pola;arti;文型;desc1;desc2;desc3;contohJP1;contohID1;contohJP2;contohID2;contohJP3;contohID3;第～週;～日目;Hari ke-;
～ないことはない;bukannya tidak;K. Kerja ない / K. Kerja られない / K. Sifat-i くない / K. Sifat-na じゃない ～ことはない;digunakan untuk menyatakan "bukan berarti tidak ~", ada kemungkinan meski tidak besar;;;鶏肉は、食べないことはないですが、あまり好きではありません。;kalau daging ayam, bukan berarti tidak makan, tapi saya kurang suka;走れば間に合わないことはないよ。急ごう!;kalau (kita) lari, bukan tidak mungkin akan keburu, ayo cepetan!;車を運転できないことはないんですが、ほとんどしません。;bukannya saya tidak bisa nyetir mobil, tapi saya jarang nyetir saja;6;2;32;
～たところ;setelah... ternyata;K. Kerja ～たところ;kalimat bagian belakang terdapat penemuan (hal baru diketahui) atau perasaan sedikit kaget;;;先生に今度のテストの範囲を聞いたところ、10課までだと言われた。;setelah saya tanya ke sensei batas ujian nanti, katanya sampai bab 10;歯が痛いので歯医者さんに行ったところ、ひどい虫歯になっていると言われた。;karena gigi saya sakit, setelah saya pergi ke dokter, katanya gigi saya rusak parah;;6;3;33;
～るところだった;hampir saja;K. Kerja る ～るところだった;menjelaskan sesuatu yang hampir saja terjadi, sedikit lagi terjadi (tapi kenyataannya tidak);;;もう少しで遅刻するところだった。;sedikit lagi hampir saja terlambat;あと１０秒遅かったら、電車に乗り遅れるところだった。;kalau telat 10 detik, saya hampir saja terlambat naik kereta;あと少しで合格するところだったのに……。;padahal sedikit lagi hampir saja lulus;6;3;33;
～てはじめて;setelah... pertama kali;K. Kerja ～てはじめて;menjelaskan bahwa setelah melakukan sesuatu, baru pertama kali menyadari/merasakan;;;先生に注意されてはじめて、漢字の間違いに気が付いた。;setelah ditegur sensei, disitu pertama kali saya sadar akan kesalahan kanji (yang saya tulis);歌舞伎を見てはじめて、日本文化に興味を持った。;setelah melihat kabuki, disitu pertama kali saya mempunyai minat terhadap budaya jepang;一人暮らしをしてはじめて、親のありがたさがわかりました。;setelah saya hidup sendiri (tidak sama orang tua), disitu saya menyadari rasa syukur terhadap keberadaan orang tua;6;3;33;
～うちに;selagi, mumpung;K. Kerja ている / K. Kerja ない / K. Sifat-i い / K. Sifat-na な / K. Benda の ～うちに;untuk menyatakan sebelum keadaan berubah (selagi masih, mumpung belum) atau ditengah-tengah;;;忘れないうちに、メモをしておこう。;selagi masih belum lupa, saya catat dulu;明るいうちに帰ってきなさい。;selagi masih terang, ayo pulang;何度も聞いているうちに歌詞を覚えた。;disaat (setelah) saya mendengarkannya berkali-kali, saya hafal liriknya;6;3;33;
～わけだ;makanya, pantesan;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な ～わけだ / KK ～ている/ていた / KK ～られる/させる ～わけだ;menyatakan sesuatu yang sudah semestinya terjadi karena alasan yang jelas;;;暑いわけだ。気温が36度もある。;pantas saja panas. suhu udaranya sampai 36 derajat;A：「田中さん、彼女にふられたらしいよ。」B：「なるほど、それで元気がないわけだ。」;tanaka-san katanya diputusin pacarnya / oh gitu... makanya dia (terlihat) tidak bersemangat;;6;4;34;
～わけではない;bukannya, bukan berarti;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な ～わけではない / KK ～ている/ていた / KK ～られる/させる ～わけではない;digunakan untuk menyangkal sebagian (bukan penolakan total);;;きらいなわけではないが、肉はあまり食べない。;bukannya saya tidak suka, tapi saya jarang makan daging;テレビは見ないわけではないが、音楽を聴いているほうが多い。;bukannya tidak nonton tv, tapi saya lebih banyak mendengarkan musik;眠ったわけではない。他のことを考えていた。;bukannya tidur, tapi tadi saya sedang memikirkan hal lain;6;4;34;
～わけがない;tidak mungkin;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な ～わけがない / KK ～ている/ていた / KK ～られる/させる ～わけがない;untuk menyangkal dengan kuat "tidak mungkin", "tidak ada alasan";;;強い相手に勝てるわけがない。;tidak mungkin bisa menang dengan lawan yang kuat;A：「このパン、古くない?」B：「古いわけないよ。昨日買ったんだから。」;roti ini udah lama yah?! (basi) / tidak mungkin lama (basi), karena saya beli kemarin;;6;4;34;
～わけにはいかない;tidak ada alasan untuk...;K. Kerja る / K. Kerja ない / K. Kerja ている / K. Kerja させる ～わけには/も いかない;menyatakan bahwa hal tersebut tidak mungkin dilakukan karena alasan tertentu;;;大事な会議があるから、休むわけにはいかない。;karena ada rapat penting, tidak ada alasan bagi saya untuk libur;社長の命令だから、従わないわけにはいかない。;karena ini perintah direktur, tidak ada alasan bagi saya untuk tidak menaatinya;;6;4;34;
決して～ない;sama sekali tidak (apapun yang terjadi);決して K. Kerja ～ない / K. Sifat-i ～くない / K. Sifat-na ～ではない / K. Benda ～ではない;menyatakan bahwa apapun yang terjadi, bagaimanapun juga, hal tersebut tidak akan dilakukan;;;私は決して夢をあきらめません。;(apapun yang terjadi) saya pasti tidak akan menyerah;「うそは決して申しません。」と彼は言った。;dia bilang "saya sama sekali tidak berbohong";あなたがしてくれたことは決して忘れません;(apapun yang terjadi) saya tidak akan melupakan hal baik yang kamu lakukan untuk saya;6;5;35;
まったく～ない;sama sekali tidak;まったく K. Kerja ～ない / K. Sifat-i ～くない / K. Sifat-na ～ではない;memberikan penekanan terhadap ketidakbisaan atau ketidakmampuan;※ まったく juga bisa digunakan bersama adjektiva positif untuk berarti "benar-benar/sepenuhnya";;私はまったく泳げない。;saya sama sekali tidak bisa berenang;彼が怒っている理由は、私にはまったくわからない。;saya sama sekali tidak mengerti alasan mengapa dia marah;前とは違うまったく新しい計画を立てた。;saya menyusun rencana baru yang sama sekali berbeda dengan sebelumnya (benar-benar berbeda);6;5;35;
めったにない;sangat jarang;K. Benda は めったにない / めったにない K. Kerja ない;menyatakan jumlah yang sedikit atau sesuatu yang jarang terjadi/dilakukan;;;こんなチャンスはめったにないよ。;kesempatan seperti ini jarang ada;忙しくてめったに休みが取れない。;karena sibuk, saya jarang bisa mengambil libur;彼女はめったに病気をしないのに、入院しているらしい。;padahal dia jarang sakit, tapi katanya sekarang sedang dirawat di rumah sakit;6;5;35;
少しも～ない;sedikitpun tidak;少しも / ちっとも K. Kerja ～ない / K. Sifat-i ～くない / K. Sifat-na ～ではない;memberikan penekanan terhadap penyangkalan "sedikitpun tidak";;;あの人が話す英語は少しもわからない。;sedikitpun saya tidak mengerti bahasa inggris yang dia bicarakan;スタイルのことは、少しも気にならない。;mengenai gaya (tampilan fisik), sedikitpun saya tidak memperdulikannya;;6;5;35;
あと／それと;lalu, kemudian, lagi, dan;あと / それと (di awal kalimat atau di tengah);digunakan untuk menambahkan sesuatu;;;レタス一つとトマトを3個ください。それと、ピーマンも1袋ください。;saya mau beli lettuce satu dan tomat tiga... lalu, peeman juga satu;言われたことはしました。あと、何をすればいいですか。;saya sudah melakukan apa yang dibilang. berikutnya saya harus gimana?;A：「今日はこれで全員かな。」 B：「あと、田中さんが来ると思います。」;untuk hari ini, ini sudah semuanya ya? / (sama satu lagi) tanaka-san mungkin akan datang;6;6;36;
それとも;atau;Kalimat 1 (pertanyaan)。それとも Kalimat 2 (pertanyaan)か。;digunakan untuk menghubungkan kalimat tanya, secara makna sama seperti あるいは、または;※ それとも hanya dipakai di kalimat tanya atau situasi di mana ada pilihan;;コーヒーにしますか。それとも紅茶にしますか。;mau kopi atau teh?;来週にしましょうか。それともさ来週がいいですか。;mau minggu depan saja? atau 2 minggu lagi?;話し合って決めましょうか。それとも私が決めてしまってもいいですか。;bagaimana kalau kita putuskan dengan berunding? atau saya boleh memutuskannya saja?;6;6;36;
その上;disamping itu, apalagi;Kalimat 1。その上、Kalimat 2。;digunakan untuk menambahkan informasi, lebih formal daripada それに;;;この店の料理はおいしい。その上、値段も安い。;masakan restoran ini enak. dan juga harganya murah;彼は、頭がいい。その上、スポーツも何でもできる。;dia pandai. disamping itu, dia bisa olahraga apa saja;彼女は英語も出来るし、その上、日本語も上手だ。;dia bisa bahasa inggris, disamping itu juga pandai bahasa jepang;6;6;36;

