pola;arti;文型;desc1;desc2;desc3;contohJP1;contohID1;contohJP2;contohID2;contohJP3;contohID3;第～週;～日目;Hari ke-;
～さえ;...pun / ...juga / ...aja;K. Benda / K. Benda に / K. Benda で → さえ;sering digunakan dalam kalimat yang mempunyai kesan negatif;biasanya pembicara merasa kesal, heran, tidak habis pikir;;そんなこと、子どもでさえ知っている。;hal seperti itu anak kecil pun tahu;ひらがなさえ書けないんですから、漢字なんて書けません。;menulis hiragana saja tidak bisa, apalagi huruf kanji;退職することを両親にさえ相談しないで決めた。;saya memutuskan berhenti kerja tanpa berunding dengan orang tua sekalipun;2;1;7;
～こそ;justru... / ...pasti;K. Benda こそ / ～からこそ (alasan);digunakan untuk memberi penekanan;biasanya tidak digunakan dalam kalimat yang bernuansa negatif;;辛い時こそ、大切なことを学べるチャンスだ。;justru di masa-masa sulit lah kesempatan bisa mempelajari hal-hal penting;愛情があるからこそ、しかるんです。;justru karena ada rasa sayang, makanya marah;明日こそ勉強するぞ！;besok saya pasti belajar! (bukan hari ini, tapi besok!);2;1;7;
～について;tentang, mengenai;K. Benda に ついて / ついての KB / ついては / ついても;mengungkapkan topik/tema yang sedang dibicarakan;;;日本文化について勉強する。;saya belajar tentang budaya Jepang;「受験についての注意」を読む。;saya membaca hal yang perlu diperhatikan mengenai ujian;;;2;2;8;
～に関して;sehubungan dengan, tentang, mengenai;K. Benda に / Kalimat ～のに → 関して / 関しては / 関しても / 関するKB / 関してのKB;ungkapan ini lebih kaku daripada ～について & sering digunakan dalam situasi formal;;;農業に関する論文を読む。;saya membaca makalah (hasil penelitian) yang berhubungan dengan pertanian;この問題に関して、ご意見ありませんか。;sehubungan dengan masalah ini, apakah ada pendapat?;今回の事故の原因に関してですが、現在調査中です。;mengenai penyebab kecelakaannya saat ini sedang diinvestigasi;2;2;8;
～によると;menurut...;K. Benda に よると / よれば;digunakan untuk menjelaskan sumber informasi berdasarkan apa;;;天気予報によれば、明日は晴れるらしい。;menurut ramalan cuaca, besok katanya cerah;さっきの地震はテレビの速報によると震度３だそうだ。;menurut berita di tv, katanya gempa yang tadi berkekuatan 3 skala richter (M 3);;;2;2;8;
～によって;dengan (cara), tergantung, karena;K. Benda に よって / よっては / より / よるKB;digunakan untuk mengungkapkan sebuah (1) cara (2) keadaan "tergantung" (3) penyebab;;;彼は努力によって病気を克服した。;dia mengatasi penyakit dengan cara berusaha;人によって考え方が違います。;cara berpikir berbeda tergantung orangnya (setiap orang berbeda-beda);台風によって屋根が飛ばされた。;atap rumah beterbangan karena angin topan;2;2;8;
KS-i/-na → さ;-nya (perasaan, karakter, tingkatan);KS-i い→ さ / KS-na だ→ さ / ※ いい→ よさ;merubah bentuk kata sifat menjadi kata benda;banyak digunakan untuk mengungkapkan perasaan, karakter & tingkatan;;大きさは違うが、君と同じかばんを持っているよ。;besarnya beda, tapi saya punya tas yang sama dengan punya kamu;子どもに命の大切さを教えなければならない。;(kita) harus mengajarkan kepada anak tentang pentingnya sebuah jiwa/nyawa;;2;3;9;
KS-i/-na → み;-nya (keadaan, karakter, kekuatan);KS-i い→ み / KS-na だ→ み;merubah bentuk kata sifat menjadi kata benda;banyak digunakan untuk mengungkapkan sebuah keadaan, karakter;;戦争が終わった今でも、この国の苦しみはまだ続いている。;penderitaan negara ini masih berkelanjutan meskipun saat ini perang sudah selesai;田中さんの強みは、２ヵ国語が話せるということです。;kekuatan tanaka-san adalah mampu berbicara 2 bahasa;;2;3;9;
～こと;perihal, tentang;K. Kerja (biasa) / K. Sifat -i (biasa) / K. Sifat -na な / K. Benda の / K. Benda である → こと;dapat berfungsi sebagai pembentuk kata benda;;;来週のテストのことで、質問があります。;saya ada pertanyaan perihal ujian minggu depan;田中さんが入院したことを知っていますか。;apakah kamu tahu tanaka-san masuk rumah sakit?;そんな無理なことを言わないでください。;jangan bilang hal yang tidak mungkin seperti itu;2;3;9;
～の;-nya (pembentuk kata benda, kasual);K. Kerja (biasa) / K. Sifat -i (biasa) / K. Sifat -na な / K. Benda な → の;berfungsi sebagai pembentuk kata benda sama seperti ～こと;～の lebih kasual, ～こと formal;;田中さんに電話するのをすっかり忘れていました。;saya benar-benar lupa menelpon tanaka-san;日曜日に混んだところへ行くのは、あまり好きではありません。;hari minggu pergi ke tempat yang ramai itu saya tidak begitu suka;;2;3;9;
～という;yang bernama, yang disebut, artinya;K. Benda という KB / K. Benda というもの/こと;digunakan untuk menyebut nama, menjelaskan arti atau istilah;;;さっき、木村さんという人から電話がありましたよ。;tadi ada telepon dari seseorang yang bernama kimura;これは、日本の楽器で「尺八」というものです。;ini adalah alat musik dari Jepang, namanya "shakuhachi";お金はいりません。無料ということです。;tidak perlu uang... artinya (maksudnya) gratis!;2;4;10;
